GeneSymbol,ZHL,epval,efdr,Replicate1
Exosc2,1.453192573,0.009830141,0.737645051,1
Vgll3,1.452622955,0.009862913,0.737645051,1
Mtr,1.452615042,0.009862913,0.737645051,1
Ctdp1,1.452586844,0.009863836,0.737645051,1
Tmbim6,1.452354471,0.00987676,0.737645051,1
Olfr620,1.452198091,0.009885068,0.737645051,1
C330018D20Rik,1.451291686,0.009940919,0.737645051,1
Agpat4,1.450815097,0.009964459,0.737645051,1
Cyp46a1,1.450715405,0.009969075,0.737645051,1
Speer4f,1.450581439,0.009975998,0.737645051,1
Rpl17,1.44962622,0.01002631,0.738843537,0.5
Optn,1.448605363,0.010091392,0.741118644,0.5
Adprhl1,1.446759038,0.010213709,0.747567568,0.5
Irf2bp2,1.445860148,0.010267251,0.747751678,0.5
Cep44,1.445498634,0.010285253,0.747751678,0.5
Gimap9,1.444510789,0.01034618,0.749665552,0.5
Kdm1b,1.440616147,0.010574198,0.763633333,0.5
Slc25a20,1.439664075,0.010631895,0.765249169,0.5
Crnkl1,1.438823501,0.010688668,0.766788079,0.5
Stt3b,1.437532722,0.01076529,0.769735974,0.5
Olfr338,1.435948399,0.01087976,0.775162242,0.5
Olfr150,1.433878758,0.011016386,0.775162242,0.5
Cyp4f18,1.433030203,0.011069467,0.775162242,0.5
Olfr1258,1.432909659,0.011075929,0.775162242,0.5
Arg1,1.432845417,0.011079622,0.775162242,0.5
Trps1,1.431036047,0.011192707,0.775162242,0.5
Gcnt2,1.430779599,0.011208401,0.775162242,0.5
Mis18bp1,1.430251487,0.011239788,0.775162242,0.5
Tcf24,1.429689966,0.011282252,0.775162242,0.5
Usp36,1.428329287,0.011368567,0.775162242,0.5
Morf4l1,1.426840786,0.01146642,0.775162242,0.5
mmu-mir-5710,1.425932539,0.011530118,0.775162242,0.5
Slc17a5,1.42573456,0.011543042,0.775162242,0.5
Kcnk1,1.425211544,0.011580891,0.775162242,0.5
NonTargetingControlGuideForMouse_36,1.424746652,0.011602123,0.775162242,0.5
1700112E06Rik,1.424323833,0.01163628,0.775162242,0.5
Olfr582,1.424148132,0.011648742,0.775162242,0.5
Cer1,1.423390436,0.011698592,0.775162242,0.5
Copb1,1.423220333,0.011710593,0.775162242,0.5
Il6st,1.421954093,0.011795523,0.775162242,0.5
Lrrc52,1.420699378,0.011878606,0.775162242,0.5
Zfp874a,1.420444681,0.011892453,0.775162242,0.5
Apol8,1.420222162,0.011908608,0.775162242,0.5
Polr2k,1.420216462,0.01190907,0.775162242,0.5
Lbp,1.419620391,0.011946457,0.775162242,0.5
Gprasp2,1.419207504,0.011974613,0.775162242,0.5
Ano3,1.419186747,0.011975998,0.775162242,0.5
Adora2b,1.418842234,0.012000462,0.775162242,0.5
Hist1h4h,1.418538384,0.012018925,0.775162242,0.5
Ctsll3,1.418204343,0.01204108,0.775162242,0.5
Gjc3,1.417676672,0.012076621,0.775162242,0.5
Fut4,1.417662211,0.012077544,0.775162242,0.5
Cyp4f15,1.417607754,0.012080314,0.775162242,0.5
Chpt1,1.417055425,0.01211447,0.775162242,0.5
Rcan3,1.417031272,0.012116317,0.775162242,0.5
Brcc3,1.416832923,0.012129241,0.775162242,0.5
Agap3,1.415847547,0.012192015,0.776882353,0.5
Maml3,1.414415938,0.012289868,0.777636888,0.5
Ankrd10,1.414055412,0.012320332,0.777636888,0.5
Ripk1,1.413735774,0.012336487,0.777636888,0.5
Ace,1.41297855,0.012384491,0.777636888,0.5
Ttc23l,1.412666955,0.012407108,0.777636888,0.5
Gm13247,1.412118414,0.012447265,0.777636888,0.5
Olfr294,1.411978068,0.012455112,0.777636888,0.5
Acsm2,1.410747201,0.012538195,0.780574713,0.5
Dynlt1f,1.409275436,0.012640203,0.784670487,0.5
Trmt2a,1.406857221,0.012817909,0.790802005,0.5
Scyl2,1.406125895,0.012871913,0.790802005,0.5
Sema4f,1.406052361,0.012877452,0.790802005,0.5
Wdr48,1.405627737,0.012906993,0.790802005,0.5
Gramd1b,1.403681704,0.013054235,0.790802005,0.5
Nxph2,1.403509459,0.013067621,0.790802005,0.5
Uba6,1.402129358,0.013167321,0.790802005,0.5
Fam115c,1.401168458,0.013232864,0.790802005,0.5
Dnah1,1.400947707,0.013249019,0.790802005,0.5
Cdca8,1.399749748,0.013340411,0.790802005,0.5
Zscan18,1.399677727,0.013346411,0.790802005,0.5
Ptp4a3,1.398998969,0.01339303,0.790802005,0.5
Klhl14,1.39895302,0.013394415,0.790802005,0.5
Gmeb2,1.39894128,0.013395338,0.790802005,0.5
Cd200r1,1.398869748,0.013401339,0.790802005,0.5
Lpar2,1.398622298,0.013420725,0.790802005,0.5
Rngtt,1.398353606,0.013438264,0.790802005,0.5
Vmn1r37,1.398186037,0.01345442,0.790802005,0.5
Dok7,1.397358217,0.013518117,0.790802005,0.5
Rps15,1.397150307,0.013529195,0.790802005,0.5
Clec7a,1.397020418,0.013540272,0.790802005,0.5
Emc3,1.396500684,0.013581352,0.790802005,0.5
Txndc17,1.395057908,0.013690284,0.790802005,0.5
Anxa1,1.394728999,0.013710593,0.790802005,0.5
Asb11,1.394693595,0.01371567,0.790802005,0.5
Gp5,1.3944525,0.013737364,0.790802005,0.5
Il17f,1.393839537,0.013776598,0.790802005,0.5
Rrp15,1.393001228,0.013839372,0.790802005,0.5
Izumo4,1.391462967,0.013967228,0.790802005,0.5
Isx,1.391286707,0.013980152,0.790802005,0.5
Cdc25b,1.390380924,0.014051235,0.790802005,0.5
Fbxw7,1.389729804,0.014106162,0.790802005,0.5
Hook1,1.389500678,0.014125548,0.790802005,0.5
C4a,1.389475302,0.014127856,0.790802005,0.5
Smarca5,1.389330964,0.014138472,0.790802005,0.5
Nr2f1,1.388875754,0.014170782,0.790802005,0.5
Cab39l,1.388768015,0.01418186,0.790802005,0.5
Tgm7,1.388415487,0.014201708,0.790802005,0.5
Grap2,1.388327677,0.014209093,0.790802005,0.5
Igsf21,1.388238027,0.01421694,0.790802005,0.5
Cpox,1.387161059,0.014301408,0.790802005,0.5
H60c,1.386738566,0.014336949,0.790802005,0.5
Taar1,1.386563831,0.014346642,0.790802005,0.5
F2rl3,1.386009837,0.01439003,0.790802005,0.5
Asns,1.385634134,0.014421417,0.790802005,0.5
Wnt10a,1.38535905,0.014449573,0.790802005,0.5
Clk3,1.384287861,0.014531733,0.790802005,0.5
Foxn4,1.38424711,0.014534964,0.790802005,0.5
Med8,1.383902777,0.01455712,0.790802005,0.5
Chek1,1.383796089,0.014564043,0.790802005,0.5
Iscu,1.382002029,0.014699746,0.793399015,0.5
Rpl5,1.38126313,0.014762059,0.793399015,0.5
Krr1,1.38091341,0.014789291,0.793399015,0.5
Tbc1d2b,1.380175489,0.014855297,0.793399015,0.5
Sepp1,1.380135229,0.014858528,0.793399015,0.5
Wdr75,1.380081343,0.014862682,0.793399015,0.5
Pcsk1,1.379991578,0.014868221,0.793399015,0.5
Sec16a,1.378634216,0.014979922,0.796053922,0.5
E4f1,1.378453697,0.014991461,0.796053922,0.5
Gm20172,1.377853049,0.01503531,0.796430318,0.5
Cacnb4,1.377372307,0.015075006,0.796585366,0.5
Rps2,1.376386919,0.015157628,0.797207637,0.5
Arhgap8,1.376181287,0.015173321,0.797207637,0.5
P2ry1,1.375927492,0.015199631,0.797207637,0.5
Slc6a1,1.37513188,0.015268405,0.797207637,0.5
Shisa5,1.374706898,0.015300254,0.797207637,0.5
Vmn1r54,1.374438807,0.015319178,0.797207637,0.5
Pknox2,1.373968743,0.015357951,0.797207637,0.5
mmu-mir-194-2,1.373381154,0.015404108,0.797207637,0.5
Olfr358,1.373176286,0.015417955,0.797207637,0.5
Olfr1260,1.372744574,0.015467805,0.797880952,0.5
Prol1,1.371340497,0.015577198,0.799225352,0.5
Ern1,1.370887716,0.01561597,0.799225352,0.5
Myo6,1.370552708,0.015644126,0.799225352,0.5
Kif19a,1.370340931,0.015660282,0.799225352,0.5
Sec31a,1.370074914,0.015683822,0.799225352,0.5
St8sia4,1.369762661,0.015715209,0.799225352,0.5
Sfmbt2,1.369234185,0.01576552,0.799906323,0.5
Olfr128,1.368563808,0.015831526,0.800722611,0.5
Cpeb4,1.368292592,0.015855527,0.800722611,0.5
Olfr458,1.366935029,0.015976921,0.804976744,0.5
Nr4a1,1.365697572,0.016087237,0.8075,0.5
Anks4b,1.365526214,0.016101546,0.8075,0.5
Smok2a,1.365004094,0.016144473,0.80778291,0.5
Olfr866,1.363256442,0.016282945,0.809519451,0.5
Olfr1279,1.363015962,0.016301408,0.809519451,0.5
Sec61a1,1.362936156,0.016310639,0.809519451,0.5
Itgae,1.362772663,0.016328641,0.809519451,0.5
Polr3a,1.362218935,0.016379875,0.810205479,0.5
Tmem240,1.361450354,0.016451419,0.81106576,0.5
Zfp654,1.361124521,0.016484653,0.81106576,0.5
Fpr2,1.360769549,0.016509578,0.81106576,0.5
Mdn1,1.359497885,0.01662174,0.813069977,0.5
Fam186b,1.359416979,0.016625433,0.813069977,0.5
Prex2,1.358535429,0.016706208,0.814164811,0.5
Mat2b,1.357837674,0.016766674,0.814164811,0.5
Pigyl,1.357804154,0.016770367,0.814164811,0.5
Faf2,1.357425267,0.016804985,0.814164811,0.5
C130060K24Rik,1.356950294,0.016851142,0.814164811,0.5
Slc25a53,1.35666203,0.016873298,0.814164811,0.5
Fam76b,1.355723851,0.016960535,0.816555556,0.5
Mt4,1.355220018,0.017008078,0.817028825,0.5
Sin3b,1.354138579,0.017099931,0.819623894,0.5
4833420G17Rik,1.352965931,0.017209324,0.821365639,0.5
Rbbp9,1.352934437,0.017212093,0.821365639,0.5
Ano7,1.352239241,0.017280868,0.822346491,0.5
Nsun7,1.351994852,0.017308562,0.822346491,0.5
Ccl19,1.351435093,0.017365797,0.822515856,0.5
Aym1,1.350921136,0.017415186,0.822515856,0.5
Gm21119,1.349092027,0.017606739,0.822515856,0.5
Tnfrsf26,1.348834808,0.017632587,0.822515856,0.5
Kmt2e,1.34831197,0.017684745,0.822515856,0.5
Usp14,1.347933918,0.017716132,0.822515856,0.5
Cops3,1.346964355,0.017804754,0.822515856,0.5
Slirp,1.346792632,0.017821371,0.822515856,0.5
Pdzk1ip1,1.346688055,0.017829679,0.822515856,0.5
P2rx5,1.345820808,0.01791507,0.822515856,0.5
Prpf3,1.345743941,0.017922456,0.822515856,0.5
Brsk1,1.345689097,0.017929379,0.822515856,0.5
4930590J08Rik,1.345667134,0.017931225,0.822515856,0.5
Ank,1.345540196,0.01794415,0.822515856,0.5
Srsf5,1.345479953,0.017947842,0.822515856,0.5
NonTargetingControlGuideForMouse_123,1.34538911,0.017955227,0.822515856,0.5
Dfnb59,1.345361079,0.017957535,0.822515856,0.5
Nyap1,1.344375995,0.018059081,0.825421941,0.5
Ewsr1,1.343555438,0.018133856,0.827094737,0.5
Slc12a6,1.342565564,0.018236787,0.830042017,0.5
Rasgrp4,1.340047418,0.018490653,0.836520833,0.5
Gm1604b,1.33995837,0.018500808,0.836520833,0.5
Ralgps2,1.339817611,0.018515578,0.836520833,0.5
Olfr231,1.339581552,0.01853358,0.836520833,0.5
Epc2,1.339143094,0.018586661,0.837172557,0.5
Vps16,1.338455959,0.018651281,0.837649485,0.5
Fbln1,1.338033479,0.018696977,0.837649485,0.5
Cpsf3,1.337862244,0.018717748,0.837649485,0.5
Sel1l3,1.337566783,0.018751904,0.837649485,0.5
Rergl,1.336791944,0.018827141,0.839279835,0.5
Mgmt,1.335892531,0.018919917,0.841683778,0.5
Pabpn1,1.335277517,0.018992384,0.842508961,0.5
Timeless,1.334215343,0.019096238,0.842508961,0.5
Nfkb2,1.333604196,0.019159935,0.842508961,0.5
E030030I06Rik,1.333217101,0.019199631,0.842508961,0.5
Psma4,1.333060241,0.019213016,0.842508961,0.5
Fam195a,1.332924809,0.019223171,0.842508961,0.5
Zfp874b,1.332764209,0.019239788,0.842508961,0.5
Cnn3,1.332338209,0.019285483,0.842508961,0.5
Thada,1.331626816,0.019357489,0.842508961,0.5
Sod1,1.331028043,0.019419802,0.842508961,0.5
Bcl2l15,1.330105577,0.019503346,0.842508961,0.5
Cd180,1.328964582,0.019616432,0.842508961,0.5
Cdc45,1.328721227,0.019639511,0.842508961,0.5
Btbd7,1.328711938,0.019641357,0.842508961,0.5
Rrm2,1.326964187,0.019821371,0.842508961,0.5
Rnf133,1.326619734,0.019860143,0.842508961,0.5
Fbxo8,1.326576062,0.019864759,0.842508961,0.5
Ndel1,1.326444157,0.019877221,0.842508961,0.5
Ccdc147,1.326414564,0.019879991,0.842508961,0.5
Prss35,1.32621182,0.0199003,0.842508961,0.5
Gpr55,1.325676533,0.019965844,0.842508961,0.5
Reps1,1.325672292,0.019966305,0.842508961,0.5
Arhgap21,1.325526192,0.019981537,0.842508961,0.5
Birc6,1.325099661,0.02002631,0.842508961,0.5
Dgcr14,1.3247769,0.020061389,0.842508961,0.5
Adcy9,1.323349026,0.020210016,0.842508961,0.5
Olfr1322,1.322900374,0.020255712,0.842508961,0.5
Cebpe,1.321960633,0.020351719,0.842508961,0.5
Rrp36,1.321914646,0.020355874,0.842508961,0.5
