Column1,GeneSymbol,Cutoff
10650,ARSA,0
441,ARSB,0
10660,ARSB,0
10685,ARSD,0
10713,ARSE,0
10724,ARSF,0
6413,ARSG,0
9537,ARSH,0
9334,ARSI,0
16838,ARSJ,0
4960,ARSK,0
10731,ART1,0
10744,ART3,0
10752,ART4,0
3510,ART5,0
19045,ARTN,0
15347,ARV1,0
10760,ARVCF,0
5403,ARX,0
14102,AS3MT,0
753,ASAH1,0
10800,ASAH1,0
13744,ASAH2,0
15525,ASAH2B,0
1015,ASAP1,0
11508,ASAP1,0
18802,ASAP2,0
13282,ASAP3,0
12064,ASB1,0
4262,ASB10,0
4376,ASB11,0
4470,ASB12,0
16932,ASB13,0
4469,ASB14,0
4468,ASB15,0
19415,ASB16,0
9281,ASB16-AS1,0
3925,ASB17,0
10492,ASB18,0
12071,ASB2,0
11675,ASB3,0
12065,ASB4,0
4377,ASB5,0
4378,ASB6,0
4379,ASB7,0
4380,ASB8,0
4381,ASB9,0
11568,ASCC1,0
17938,ASCC2,0
2914,ASCC3,0
10811,ASCL1,0
10822,ASCL2,0
13765,ASCL3,0
3678,ASCL4,0
7393,ASF1A,0
