GeneSymbol	EntrezID
Rcvrn	19674
Rdx	19684
Rad51	19361
Rfc1	19687
Reg1	19692
Reg2	19693
Rel	19696
Ren1	19701
Ret	19713
Trim27	19720
Rheb	19744
Rho	212541
Rnase1	19752
Rlbp1	19771
Rln1	19773
Xpr1	19775
Rnps1	19826
Rom1	19881
Ros1	19886
Rpe65	19892
Rpl12	269261
Rpl18	19899
Rpl19	19921
Rpl27	19942
Rpl30	19946
Rpl32	19951
Rpl37a	19981
Rpl7	19989
Rpn1	103963
Rpn2	20014
Polr2a	20020
Pdc	20028
Rps12	20042
Rps14	20044
Rps15	20054
Rps16	20055
Rps18	20084
Rps24	20088
Rps4x	20102
Rps6	20104
Rps8	20116
Trim30a	20128
Rras	20130
Rrm1	20133
Rrm2	20135
Rxra	20181
Rxrb	20182
Rxrg	20183
S100b	20203
Prrx2	20204
Saa1	20208
Saa2	20209
Saa3	20210
Saa4	20211
Sag	20215
Apcs	20219
Sar1a	20224
Sat1	20229
Scd1	20249
Scd2	20250
Stmn2	20257
Scn1a	20265
Scn1b	20266
Scn2a	110876
Scn3a	20269
Scn4a	110880
Scn5a	20271
Scp2	20280
Msr1	20288
Ccl1	20290
Ccl2	20296
Ccl3	20302
Ccl4	20303
Ccl5	20304
Ccl6	20305
Sord	20322
Sds	231691
Epha4	13838
Sele	20339
Sell	20343
Selp	20344
Spi1	20375
Srsf1	110809
Srsf2	20382
Srsf3	20383
Srsf5	20384
Scg5	20394
Shb	230126
Shbg	20415
Shc1	20416
Shh	20423
Shmt1	20425
Pmel	20431
St3gal1	20442
Sim1	20464
Sim2	20465
Ski	20481
C4a	625018
Smpd1	20597
Sst	20604
Sstr1	20605
Sstr2	20606
Sstr3	20607
Snai1	20613
Snap25	20614
Snrnp70	20637
Snrpb	20638
Snrpd1	20641
Snrpd2	107686
Snrpe	20643
Snrpn	20646
Sod1	20655
Sod2	20656
Son	20658
Sos1	20662
Sos2	20663
Sox1	20664
Sox10	20665
Sox11	20666
Sox12	20667
Sox13	20668
Sox14	20669
Sox15	20670
Sox2	20674
Sox3	20675
Sox4	20677
Sox5	20678
Sox6	20679
Sox7	20680
Sox8	20681
Sox9	20682
Sp1	20683
