"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","replicate1","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"IFNW1",3467,6,0.43443,1.0191,0.47048,0.98135,0.30816,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IFRD1",3475,6,0.26349,0.44786,0.95313,0.99913,0.65426,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFRD2",7866,6,0.078227,0.24118,0.52413,0.98209,0.80942,0.96003,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT122",55764,6,0.10504,0.29986,0.59156,0.98885,0.76428,0.9507,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT140",9742,6,-0.038269,-0.1394,0.28852,0.95953,0.88914,0.97527,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT172",26160,6,0.37183,0.57569,0.6358,0.99181,0.56482,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT20",90410,6,0.095817,0.29387,0.5675,0.98736,0.76886,0.95108,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT27",11020,6,0.31902,0.86047,0.78568,0.99598,0.38953,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT43",112752,6,0.26063,0.52751,0.96207,0.9993,0.59784,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT46",56912,6,0.39078,0.86504,0.5828,0.98867,0.38702,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT52",51098,6,0.11191,0.24571,0.6069,0.98948,0.8059,0.95886,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT57",55081,6,0.50389,0.6603,0.32304,0.96993,0.50906,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT74",80173,6,0.26183,0.62349,0.9581,0.99918,0.53296,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT80",57560,6,0.61889,1.2796,0.14818,0.88852,0.20068,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT81",28981,6,0.14044,0.29271,0.68645,0.9938,0.76975,0.95144,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IFT88",8100,6,0.42294,1.1968,0.49965,0.98209,0.23139,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGBP1",3476,6,0.11176,0.15633,0.60644,0.98948,0.87577,0.9724,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IGDCC3",9543,6,0.47541,1.013,0.3765,0.97543,0.31108,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGDCC4",57722,6,0.34164,0.81029,0.72061,0.9938,0.41778,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGF1",3479,6,0.5496,0.97709,0.24192,0.9507,0.32852,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"IGF1R",3480,6,0.25297,0.68467,0.98502,0.9993,0.49355,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"IGF2",3481,6,0.36116,0.72516,0.6659,0.9938,0.46836,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGF2BP1",10642,6,-0.029796,-0.084366,0.30271,0.96525,0.93277,0.9839,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGF2BP2",10644,6,-0.24646,-0.63764,0.075679,0.78866,0.5237,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGF2BP3",10643,6,0.30367,0.77336,0.83067,0.99668,0.43931,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGF2R",3482,6,0.033747,0.061492,0.42388,0.97594,0.95097,0.98734,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IGFALS",3483,6,0.40615,0.94438,0.5433,0.98209,0.34498,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFBP1",3484,6,-0.11687,-0.27994,0.17887,0.90996,0.77952,0.95305,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFBP2",3485,6,0.79072,1.2446,0.033968,0.62777,0.21328,0.94395,0,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"IGFBP3",3486,6,0.41926,1.3253,0.50961,0.98209,0.18506,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"IGFBP4",3487,6,0.2865,0.68505,0.88381,0.9983,0.49331,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"IGFBP5",3488,6,0.14724,0.33333,0.70388,0.9938,0.73889,0.94793,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
