"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"SOX4",6659,6,0.030495,0.37369,1,2311,5,-8.6484,0.93046,0.9177,1,19197,0,-8.6484,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SOX5",6660,6,0.00076215,0.048601,1,89,3,-8.475,0.85616,0.87269,1,17702,0,-8.475,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SOX6",55553,6,0.98061,0.99275,1,20231,1,-5.9281,0.63194,0.76834,1,13049,0,-5.9281,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SOX7",83595,6,0.076224,0.56614,1,4642,3,-7.4879,0.38596,0.54221,1,7953,0,-7.4879,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SOX8",30812,6,0.36835,0.86804,1,12535,3,-7.294,0.25133,0.3148,1,5137,0,-7.294,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SOX9",6662,6,0.068873,0.54353,1,4310,5,-7.9063,0.95653,0.94103,1,19714,0,-7.9063,"LowConf","No","0","No","0","No","0","No","0",NA
"SP1",6667,6,0.48847,0.90925,1,14353,3,-7.7363,0.086629,0.11968,1,1745,1,-7.7363,"LowConf","No","0","No","0","No","0","No","0",NA
"SP100",6672,6,0.92614,0.98461,1,19499,1,-7.2866,0.017407,0.049512,1,391,1,-7.2866,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP110",3431,6,0.032644,0.39102,1,2449,4,-8.7563,0.59997,0.74594,1,12417,0,-8.7563,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP140",11262,6,0.028887,0.36485,1,2221,3,-7.6487,0.084102,0.11968,1,1697,1,-7.6487,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP140L",93349,6,0.041049,0.4327,1,2894,2,-7.4472,0.44979,0.6417,1,9336,0,-7.4472,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP2",6668,6,0.032466,0.3898,1,2433,5,-8.857,0.93899,0.92731,1,19359,0,-8.857,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP3",6670,6,0.235,0.77607,1,9596,4,-8.1945,0.33193,0.44719,1,6815,0,-8.1945,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP4",6671,6,0.02565,0.34767,1,2007,5,-8.5541,0.55839,0.73416,1,11520,0,-8.5541,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP5",389058,6,0.0032626,0.12354,1,359,6,-8.9776,0.99674,0.98642,1,20620,0,-8.9776,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP6",80320,6,0.04661,0.4583,1,3185,4,-8.8513,0.42566,0.593,1,8849,0,-8.8513,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP7",121340,6,0.061625,0.52372,1,3952,5,-8.169,0.52928,0.70711,1,10907,0,-8.169,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP8",221833,6,0.015266,0.27993,1,1371,6,-8.3043,0.98473,0.96539,1,20347,0,-8.3043,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SP9",100131390,5,0.0023798,0.080038,1,274,4,-8.7083,0.66558,0.74992,1,13799,0,-8.7083,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPA17",53340,6,0.029779,0.36718,1,2261,4,-8.3333,0.56454,0.73616,1,11667,0,-8.3333,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPACA1",81833,6,0.58545,0.93412,1,15816,3,-7.4524,0.27178,0.35737,1,5544,0,-7.4524,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPACA3",124912,6,0.091617,0.60431,1,5315,4,-8.6107,0.95035,0.93538,1,19592,0,-8.6107,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPACA4",171169,6,0.18283,0.72545,1,8197,3,-8.1224,0.67082,0.77883,1,13882,0,-8.1224,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPACA5",389852,6,0.28501,0.82073,1,10835,3,-6.6063,0.26367,0.35326,1,5370,0,-6.6063,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPACA7",122258,6,0.0087481,0.21753,1,828,2,-5.072,0.19852,0.24644,1,4057,0,-5.072,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG1",6674,6,0.2747,0.81391,1,10596,3,-6.3699,0.30938,0.41718,1,6328,0,-6.3699,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG11A",653423,5,0.0018599,0.072858,1,222,3,-8.5262,0.22205,0.29284,1,4549,0,-8.5262,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG11B",10407,3,0.021741,0.20217,1,1753,3,-8.9079,0.97826,0.92696,1,20181,0,-8.9079,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG16",79582,6,0.19307,0.73731,1,8491,4,-8.0907,0.75891,0.82134,1,15748,0,-8.0907,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG17",200162,6,0.86078,0.9782,1,18827,2,-7.4148,0.72044,0.8019,1,14916,0,-7.4148,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG4",6676,6,0.25322,0.794,1,10081,2,-7.3993,0.84078,0.86492,1,17367,0,-7.3993,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG5",10615,6,0.1418,0.68087,1,6999,4,-8.3009,0.081905,0.11426,1,1654,1,-8.3009,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG6",9576,6,0.63177,0.94329,1,16498,3,-7.3984,0.74913,0.81776,1,15548,0,-7.3984,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG7",9552,6,0.22711,0.76766,1,9375,3,-7.4791,0.24071,0.31037,1,4916,0,-7.4791,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG8",26206,6,0.18735,0.73091,1,8342,4,-8.1064,0.29615,0.38185,1,6054,0,-8.1064,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAG9",9043,6,0.016445,0.29007,1,1435,4,-7.9938,0.63194,0.76834,1,13084,0,-7.9938,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAM1",6677,6,0.074246,0.56154,1,4553,5,-8.1309,0.5528,0.72607,1,11446,0,-8.1309,"LowConf","No","0","No","0","No","0","No","0",NA
"SPANXA1",30014,5,0.04059,0.3914,1,2863,3,-9.1753,0.34624,0.49303,1,7140,0,-9.1753,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPANXA2",728712,1,0.91777,0.8718,1,19412,0,-2.8624,0.082234,0.1282,1,1662,0,-2.8624,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPANXB1",728695,5,0.17765,0.68149,1,8055,2,-5.1846,0.13874,0.17179,1,2820,0,-5.1846,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPANXC",64663,1,0.55002,0.5964,1,15274,0,-7.5187,0.44998,0.4036,1,9341,0,-7.5187,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPANXD",64648,3,0.042766,0.30163,1,2987,3,-8.4789,0.95723,0.90043,1,19735,0,-8.4789,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPANXN1",494118,6,0.057592,0.50108,1,3743,4,-8.7364,0.70978,0.79874,1,14697,0,-8.7364,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPANXN2",494119,6,0.086461,0.59464,1,5074,4,-8.5208,0.55839,0.73416,1,11525,0,-8.5208,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPANXN3",139067,6,0.31594,0.83839,1,11540,4,-7.4798,0.80629,0.84556,1,16670,0,-7.4798,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPANXN4",441525,6,0.21876,0.76273,1,9185,3,-7.7193,0.71799,0.80111,1,14874,0,-7.7193,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPANXN5",494197,5,0.013707,0.22325,1,1251,3,-9.3244,0.42081,0.6066,1,8733,0,-9.3244,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPARC",6678,6,0.43458,0.88939,1,13546,3,-7.2336,0.6465,0.77708,1,13376,0,-7.2336,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPARCL1",8404,6,0.0043331,0.15328,1,463,6,-8.739,0.99567,0.98304,1,20589,0,-8.739,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPAST",6683,6,0.50334,0.91269,1,14566,2,-6.3428,0.4381,0.60839,1,9111,0,-6.3428,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPATA12",353324,6,0.044372,0.45187,1,3075,4,-8.6076,0.76988,0.82841,1,15959,0,-8.6076,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPATA13",221178,6,0.28587,0.82073,1,10876,3,-7.6855,0.02296,0.060299,1,496,1,-7.6855,"LowConf","No","0","No","0","No","0","No","0",NA
"SPATA16",83893,6,0.077202,0.56903,1,4681,5,-8.5142,0.89387,0.89457,1,18439,0,-8.5142,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPATA17",128153,6,0.46677,0.90193,1,14036,1,-6.4972,0.52928,0.70711,1,10930,0,-6.4972,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPATA18",132671,6,0.97558,0.99206,1,20136,1,-7.042,0.17261,0.21259,1,3523,0,-7.042,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPATA19",219938,6,0.039489,0.42508,1,2814,4,-8.8506,0.64002,0.77533,1,13230,0,-8.8506,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPATA2",9825,6,0.30162,0.82753,1,11192,3,-7.0296,0.60901,0.75557,1,12570,0,-7.0296,"LowConf","Yes","0","No","0","Yes","0","No","0",NA
"SPATA20",64847,6,0.075223,0.56539,1,4595,3,-7.8705,0.6784,0.78395,1,14036,0,-7.8705,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPATA21",374955,6,0.24448,0.78381,1,9857,4,-8.0089,0.57143,0.74014,1,11823,0,-8.0089,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPATA22",84690,6,0.1207,0.65667,1,6382,2,-6.8828,0.83643,0.86257,1,17285,0,-6.8828,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"SPATA24",202051,6,0.75502,0.96364,1,17735,2,-6.091,0.34376,0.47587,1,7081,0,-6.091,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
