"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"4001",20452,-0.804,"St8sia4",0,1,"Absent",0.059,0.059,"0","0","0",0
"4002",20454,1.15,"St3gal5",0,1,"Present",0.081,0.081,"0","0","0",0
"4003",20459,-0.191,"Ptk6",0,0,"Absent",0.002,0.002,"0","0","0",0
"4004",20460,0.617,"Stil",0,0,"Absent",0.072,0.072,"0","0","0",0
"4005",20462,0.547,"Tra2b ,Tra2b",0,1,"Present",0.115,0.115,"0","0","0",0
"4006",20463,0.045,"Cox7a2l",0,1,"Present",0.069,0.069,"0","0","0",0
"4007",20464,0.46,"Sim1",0,0,"Absent",0.066,0.066,"0","0","0",0
"4008",20465,-0.338,"Sim2",0,0,"Absent",0.067,0.067,"0","0","0",0
"4009",20466,0.294,"Sin3a",0,1,"Present",0.036,0.036,"0","0","0",0
"4010",20467,-0.132,"Sin3b",0,1,"Absent",0.051,0.051,"0","0","0",0
"4011",20469,-0.54,"Sipa1",0,1,"Present",0.001,0.001,"0","0","0",0
"4012",20471,-1.288,"Six1",5,1,"Absent",0.029,0.029,"HitbyZS","HitbyNA","0",0.5
"4013",20472,-1.539,"Six2",2,0,"Absent",0.121,0.121,"HitbyZS","HitbyNA","HitbyCSA",0.5
"4014",20473,1.362,"Six3",0,0,"Absent",0.274,0.274,"0","0","0",0
"4015",20474,0.685,"Six4",0,0,"Absent",0.09,0.09,"0","0","0",0
"4016",20476,0.753,"Six6",0,0,"Absent",0.086,0.086,"0","0","0",0
"4017",20479,0.416,"Vps4b",0,1,"Present",0.018,0.018,"0","0","0",0
"4018",20480,1.086,"Clpb",0,1,"Absent",0.08,0.08,"0","0","0",0
"4019",20481,-0.005,"Ski",0,1,"Absent",0.143,0.143,"0","0","0",0
"4020",20482,0.994,"Skil",0,1,"Absent",0.06,0.06,"0","0","0",0
"4021",20491,0.591,"Sla",0,1,"Absent",0,0,"0","0","0",0
"4022",20492,-0.223,"Slbp",0,0,"Absent",0.026,0.026,"0","0","0",0
"4023",20493,0.619,"Slc10a1",0,0,"Present",0.007,0.007,"0","0","0",0
"4024",20494,0.823,"Slc10a2",0,0,"Present",0.132,0.132,"0","0","0",0
"4025",20495,-0.202,"Slc12a1",0,1,"Absent",0.008,0.008,"0","0","0",0
"4026",20496,0.872,"Slc12a2",0,1,"Present",0.055,0.055,"0","0","0",0
"4027",20497,0.511,"Slc12a3",0,1,"Absent",0.36,0.36,"0","0","0",0
"4028",20498,0.034,"Slc12a4",0,1,"Absent",0.066,0.066,"0","0","0",0
"4029",20499,0.028,"Slc12a7",0,1,"Present",0.035,0.035,"0","0","0",0
"4030",20500,1.07,"Slc13a2",0,0,"Absent",0.091,0.091,"0","0","0",0
"4031",20501,0.819,"Slc16a1",0,0,"Absent",0.059,0.059,"0","0","0",0
"4032",20502,0.942,"Slc16a2",0,0,"Absent",0.057,0.057,"0","0","0",0
"4033",20503,-0.911,"Slc16a7",0,0,"Absent",0,0,"0","0","0",0
"4034",20504,1.864,"Slc17a1",0,0,"Absent",0.073,0.073,"0","0","0",0
"4035",20505,-0.716,"Slc34a1",0,0,"Absent",0.008,0.008,"0","0","0",0
"4036",20508,0.747,"Slc18a3",0,0,"Absent",0.043,0.043,"0","0","0",0
"4037",20509,0.635,"Slc19a1",0,1,"Present",0.105,0.105,"0","0","0",0
"4038",20510,0.001,"Slc1a1",0,1,"Present",0.057,0.057,"0","0","0",0
"4039",20511,-0.37,"Slc1a2",0,1,"Present",0.001,0.001,"0","0","0",0
"4040",20512,2.321,"Slc1a3",0,0,"Absent",0.28,0.28,"0","0","0",0
"4041",20513,-0.046,"Slc1a6",0,1,"Absent",0.003,0.003,"0","0","0",0
"4042",20514,0.192,"Slc1a5",0,1,"Present",0,0,"0","0","0",0
"4043",20515,0.801,"Slc20a1",0,1,"Absent",0.055,0.055,"0","0","0",0
"4044",20516,1.447,"Slc20a2",0,1,"Absent",0.227,0.227,"0","0","0",0
"4045",20517,-0.985,"Slc22a1",0,0,"Present",0.117,0.117,"0","0","0",0
"4046",20518,-0.64,"Slc22a2",0,0,"Absent",0.049,0.049,"0","0","0",0
"4047",20519,-0.212,"Slc22a3",0,0,"Absent",0,0,"0","0","0",0
"4048",20520,1.254,"Slc22a5",0,1,"Absent",0.113,0.113,"0","0","0",0
"4049",20521,2.218,"Slc22a12",0,1,"Absent",0.169,0.169,"0","0","0",0
"4050",20522,0.309,"Slc23a1",0,0,"Present",0.029,0.029,"0","0","0",0
"4051",20523,0.93,"Slc25a14",0,1,"Absent",0.075,0.075,"0","0","0",0
"4052",20524,1.347,"Slc25a17",0,1,"Present",0.389,0.389,"0","0","0",0
"4053",20525,0.418,"Slc2a1",0,1,"Present",0.154,0.154,"0","0","0",0
"4054",20526,-0.277,"Slc2a2",0,0,"Present",0,0,"0","0","0",0
"4055",20527,0.204,"Slc2a3",0,1,"Absent",0.246,0.246,"0","0","0",0
"4056",20528,0.218,"Slc2a4",0,1,"Present",0.081,0.081,"0","0","0",0
"4057",20529,-1.338,"Slc31a1",0,1,"Absent",0.004,0.004,"HitbyZS","HitbyNA","0",0.5
"4058",20530,-0.583,"Slc31a2",0,1,"Absent",0.085,0.085,"0","0","0",0
"4059",20531,-0.874,"Slc34a2",0,0,"Absent",0,0,"0","0","0",0
"4060",20532,-0.8,"Slc3a1",0,0,"Present",0,0,"0","0","0",0
"4061",20533,-1.478,"Slc4a1",0,0,"Present",0,0,"HitbyZS","HitbyNA","0",0
"4062",20534,-0.627,"Slc4a1ap",0,1,"Absent",0,0,"0","0","0",0
"4063",20535,0.395,"Slc4a2",0,1,"Present",0.024,0.024,"0","0","0",0
"4064",20536,1.812,"Slc4a3",0,1,"Absent",0.224,0.224,"0","0","0",0
"4065",20537,1.305,"Slc5a1",0,0,"Present",0.382,0.382,"0","0","0",0
"4066",20538,0.146,"Slc6a2",0,0,"Absent",0.009,0.009,"0","0","0",0
"4067",20539,-1.192,"Slc7a5",0,1,"Absent",0.058,0.058,"0","0","0",0.5
"4068",20540,1.273,"Slc7a7",0,1,"Present",0.152,0.152,"0","0","0",0
"4069",20541,0.227,"Slc8a1 ,Slc8a1",0,1,"Present",0.218,0.218,"0","0","0",0
"4070",20544,-0.586,"Slc9a1",0,1,"Present",0,0,"0","0","0",0
"4071",20555,-0.622,"Slfn1",0,1,"Absent",0.021,0.021,"0","0","0",0
"4072",20556,-0.22,"Slfn2",0,1,"Absent",0,0,"0","0","0",0
"4073",20557,-0.998,"Slfn3",0,1,"Absent",0.055,0.055,"0","0","0",0
"4074",20558,1.168,"Slfn4",0,1,"Absent",0.348,0.348,"0","0","0",0
"4075",20562,-0.93,"Slit1",0,0,"Present",0.063,0.063,"0","0","0",0
"4076",20563,0.796,"Slit2",0,1,"Present",0.123,0.123,"0","0","0",0
"4077",20564,-0.781,"Slit3",0,0,"Present",0,0,"0","0","0",0
"4078",20568,-0.431,"Slpi",0,1,"Absent",0.011,0.011,"0","0","0",0
"4079",20583,1.288,"Snai2",0,0,"Present",0.078,0.078,"0","0","0",0
"4080",20585,1.726,"Hltf",0,1,"Absent",0.061,0.061,"0","0","0",0
"4081",20586,0.596,"Smarca4",0,1,"Absent",0.15,0.15,"0","0","0",0
"4082",20587,0.861,"Smarcb1",0,1,"Absent",0.097,0.097,"0","0","0",0
"4083",20588,0.302,"Smarcc1",0,1,"Absent",0.107,0.107,"0","0","0",0
"4084",20589,-1.08,"Ighmbp2",0,0,"Absent",0.017,0.017,"0","0","0",0
"4085",20591,-0.455,"Kdm5c",0,1,"Absent",0.015,0.015,"0","0","0",0
"4086",20592,-0.309,"Kdm5d",0,1,"Absent",0,0,"0","0","0",0
"4087",20595,-0.174,"Smn1",0,1,"Present",0.005,0.005,"0","0","0",0
"4088",20597,-0.598,"Smpd1",0,1,"Present",0,0,"0","0","0",0
"4089",20598,0.071,"Smpd2",0,1,"Present",0.005,0.005,"0","0","0",0
"4090",20599,-1.445,"Smr3a",0,0,"Absent",0.061,0.061,"HitbyZS","HitbyNA","HitbyCSA",0.5
"4091",20600,-0.499,"Smr2",0,0,"Absent",0.06,0.06,"0","0","0",0
"4092",20601,1.597,"NA",0,0.5,"Absent",NA,0.055,"0","0","0",0
"4093",20602,-0.391,"Ncor2",0,0.5,"Present",0.023,0.023,"0","0","0",0
"4094",20603,0.878,"Sms",0,1,"Present",0.062,0.062,"0","0","0",0
"4095",20604,0.426,"Sst",0,0,"Present",0.03,0.03,"0","0","0",0
"4096",20605,0.615,"Sstr1",0,0,"Present",0.092,0.092,"0","0","0",0
"4097",20606,-0.867,"Sstr2",0,0,"Present",0.02,0.02,"0","0","0",0
"4098",20607,-1.497,"Sstr3",0,0,"Present",0.33,0.33,"HitbyZS","HitbyNA","HitbyCSA",0.5
"4099",20608,-0.154,"Sstr4",0,0,"Present",0.163,0.163,"0","0","0",0
"4100",20609,1.168,"Sstr5",0,0,"Present",0.07,0.07,"0","0","0",0
"4101",20610,1.083,"Sumo3",0,1,"Present",0.203,0.203,"0","0","0",0
"4102",20611,-0.27,"Ssty1",0,1,"Absent",0.045,0.045,"0","0","0",0
"4103",20612,-0.205,"Siglec1",0,1,"Present",0.007,0.007,"0","0","0",0
"4104",20613,-0.464,"Snai1",0,1,"Present",0.002,0.002,"0","0","0",0
"4105",20614,1.188,"Snap25",0,0,"Present",0.184,0.184,"0","0","0",0
"4106",20615,-0.431,"Snapin",0,1,"Absent",0.003,0.003,"0","0","0",0
"4107",20616,0.173,"Snap91",0,0,"Absent",0.014,0.014,"0","0","0",0
"4108",20617,-1.174,"Snca",0,1,"Present",0,0,"0","0","0",0
"4109",20618,-0.477,"Sncg",0,1,"Absent",0.079,0.079,"0","0","0",0
"4110",20619,-0.556,"Snap23",0,1,"Present",0.064,0.064,"0","0","0",0
"4111",20620,0.891,"Plk2",0,1,"Absent",0.126,0.126,"0","0","0",0
"4112",20621,-1.239,"Snn",0,0,"Absent",0.005,0.005,"HitbyZS","HitbyNA","0",0
"4113",20623,0.186,"Snrk",0,1,"Absent",0.055,0.055,"0","0","0",0
"4114",20624,-1.022,"Eftud2",0,1,"Present",0.017,0.017,"0","0","0",0
"4115",20630,-0.224,"Snrpc",0,1,"Present",0.682,0.682,"0","0","0",0
"4116",20637,0.207,"Snrnp70",0,1,"Present",0.056,0.056,"0","0","0",0
"4117",20638,0.338,"Snrpb",0,1,"Present",0.302,0.302,"0","0","0",0
"4118",20639,-0.389,"Snrpb2",0,0,"Present",0,0,"0","0","0",0
"4119",20641,-1.264,"Snrpd1",0,1,"Present",0.068,0.068,"HitbyZS","HitbyNA","HitbyCSA",1
"4120",20643,-1.008,"Snrpe",0,0,"Present",0.006,0.006,"0","0","0",0
"4121",20646,-0.642,"Snrpn",0,1,"Absent",0,0,"0","0","0",0
"4122",20648,-0.553,"Snta1",0,1,"Absent",0.001,0.001,"0","0","0",0
"4123",20649,0.782,"Sntb1",0,0,"Absent",0.015,0.015,"0","0","0",0
"4124",20650,-0.575,"Sntb2",0,1,"Absent",0,0,"0","0","0",0
"4125",20652,0.386,"Soat1",0,1,"Present",0.001,0.001,"0","0","0",0
"4126",20655,0.768,"Sod1",0,1,"Present",0.059,0.059,"0","0","0",0
"4127",20656,0.948,"Sod2",0,1,"Present",0.767,0.767,"0","0","0",0
"4128",20657,0.447,"Sod3",0,0,"Absent",0.234,0.234,"0","0","0",0
"4129",20658,-0.594,"Son",0,1,"Absent",0.162,0.162,"0","0","0",0
"4130",20660,1.492,"Sorl1",0,1,"Absent",0.268,0.268,"0","0","0",0
"4131",20661,0.803,"Sort1",0,1,"Present",0.062,0.062,"0","0","0",0
"4132",20662,0.522,"Sos1",0,0,"Present",0.061,0.061,"0","0","0",0
"4133",20664,0.581,"Sox1",0,0,"Absent",0.026,0.026,"0","0","0",0
"4134",20665,-0.89,"Sox10",0,0,"Absent",NA,0.055,"0","0","0",0
"4135",20666,2.815,"Sox11",0,1,"Absent",0.204,0.204,"0","0","0",0
"4136",20668,-0.025,"Sox13",0,1,"Absent",0.359,0.359,"0","0","0",0
"4137",20670,-0.963,"Sox15",0,0,"Absent",0.009,0.009,"0","0","0",0
"4138",20671,2.144,"Sox17",0,0,"Present",0.102,0.102,"0","0","0",0
"4139",20672,0.214,"Sox18",0,0,"Absent",0.06,0.06,"0","0","0",0
"4140",20674,-1.167,"Sox2",2,0,"Absent",0.055,0.055,"0","HitbyNA","HitbyCSA",0.5
"4141",20675,-0.028,"Sox3",0,0,"Absent",0,0,"0","0","0",0
"4142",20677,0.508,"Sox4",0,1,"Absent",0.054,0.054,"0","0","0",0
"4143",20678,1.206,"Sox5",0,1,"Absent",0.099,0.099,"0","0","0",0
"4144",20679,-0.067,"Sox6",0,1,"Absent",0.051,0.051,"0","0","0",0
"4145",20680,0.769,"Sox7",0,0,"Absent",0.095,0.095,"0","0","0",0
"4146",20681,1.622,"Sox8",0,1,"Absent",0.19,0.19,"0","0","0",0
"4147",20682,-0.642,"Sox9",0,0,"Absent",0.29,0.29,"0","0","0",0
