Column1,EntrezID,Zscore,GeneSymbol,NetworkDegree,Exp_Stat_Value,KEGGdb,LowestCSAscore,LowestCSAscoreCorrected,ZSdes,NAdes,CSAdes,Replicate1
1099,11254,-2.791,SLC6A14,0,0,Absent,0.12,0.12,HitbyZS,HitbyNA,HitbyCSA,0.5
15209,80329,-2.784,ULBP1,0,1,Present,0.291,0.291,HitbyZS,HitbyNA,HitbyCSA,1
4817,23509,-2.781,POFUT1,0,1,Present,0.124,0.124,HitbyZS,HitbyNA,HitbyCSA,1
4176,222068,-2.78,TMED4,0,1,Absent,0.017,0.017,HitbyZS,HitbyNA,0,0
15999,84331,-2.78,FAM195A,0,1,Absent,0.189,0.189,HitbyZS,HitbyNA,HitbyCSA,1
2452,144124,-2.775,OR10A5,0,1,Present,0.068,0.068,HitbyZS,HitbyNA,HitbyCSA,1
2685,148930,-2.759,KNCN,0,1,Absent,0.144,0.144,HitbyZS,HitbyNA,HitbyCSA,1
4868,2356,-2.758,FPGS,0,1,Present,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
7733,3725,-2.757,JUN,43,1,Present,0.301,0.301,HitbyZS,HitbyNA,HitbyCSA,1
3054,1593,-2.756,CYP27A1,0,1,Present,0.596,0.596,HitbyZS,HitbyNA,HitbyCSA,1
14055,7184,-2.752,HSP90B1,17,1,Present,0.124,0.124,HitbyZS,HitbyNA,HitbyCSA,1
8886,441525,-2.748,SPANXN4,0,1,Absent,0.058,0.058,HitbyZS,HitbyNA,HitbyCSA,1
8397,400566,-2.744,C17orf97,0,1,Absent,0.573,0.573,HitbyZS,HitbyNA,HitbyCSA,1
9992,51659,-2.74,GINS2,0,1,Absent,0.055,0.055,HitbyZS,HitbyNA,HitbyCSA,1
3643,1992,-2.733,SERPINB1,0,1,Present,0.193,0.193,HitbyZS,HitbyNA,HitbyCSA,1
9922,51550,-2.726,CINP,0,1,Absent,0.073,0.073,HitbyZS,HitbyNA,HitbyCSA,1
16228,84844,-2.726,PHF5A,4,1,Present,0.151,0.151,HitbyZS,HitbyNA,HitbyCSA,1
12593,604,-2.725,BCL6,18,1,Absent,0.06,0.06,HitbyZS,HitbyNA,HitbyCSA,1
16513,860,-2.721,RUNX2,11,1,Absent,0.06,0.06,HitbyZS,HitbyNA,HitbyCSA,1
15297,80852,-2.719,GRIP2,0,0,Absent,0.192,0.192,HitbyZS,HitbyNA,HitbyCSA,0.5
13871,6947,-2.717,TCN1,0,0,Absent,0.084,0.084,HitbyZS,HitbyNA,HitbyCSA,0.5
6401,285641,-2.715,SLC36A3,0,0,Absent,0.077,0.077,HitbyZS,HitbyNA,HitbyCSA,0.5
10479,54554,-2.715,WDR5B,1,1,Absent,0.055,0.055,HitbyZS,HitbyNA,HitbyCSA,1
3568,1953,-2.697,MEGF6,0,1,Absent,0.063,0.063,HitbyZS,HitbyNA,HitbyCSA,1
7420,345079,-2.693,SOWAHB,0,1,Absent,0.321,0.321,HitbyZS,HitbyNA,HitbyCSA,1
7940,3845,-2.693,KRAS,1,1,Present,0.115,0.115,HitbyZS,HitbyNA,HitbyCSA,1
16524,8611,-2.691,PPAP2A,0,1,Present,0.196,0.196,HitbyZS,HitbyNA,HitbyCSA,1
6030,2738,-2.688,GLI4,0,1,Absent,0.374,0.374,HitbyZS,HitbyNA,HitbyCSA,1
14064,7200,-2.683,TRH,0,1,Absent,0.206,0.206,HitbyZS,HitbyNA,HitbyCSA,1
16720,8837,-2.683,CFLAR,6,1,Present,0.077,0.077,HitbyZS,HitbyNA,HitbyCSA,1
