"GeneSymbol","EntrezID","WS5219_1_S1_L001_R1_001_seq20_MATCHED1","WS5219_2_S2_L001_R1_001_seq20_MATCHED1","WS5219_3_S3_L001_R1_001_seq20_MATCHED1","Confidence","InputCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"1700022I11Rik","67317",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700023F06Rik","69441",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700024B05Rik","100503856",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700024G13Rik","67085",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700024P04Rik","69382",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700025B11Rik","76409",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700025C18Rik","72211",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700025F22Rik","69416",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700025G04Rik","69399",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700028K03Rik","76421",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700028P14Rik","67483",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700029F12Rik","66479",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700029H14Rik","66501",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700029I15Rik","75641",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700029J07Rik","69479",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700029P11Rik","66346",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700030J22Rik","69528",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700030K09Rik","72254",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700031F05Rik","73300",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700031M16Rik","73302",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700034E13Rik","78414",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700034I23Rik","73297",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700034J05Rik","73344",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700037C18Rik","73261",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700037H04Rik","67326",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700040F15Rik","null",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700042G07Rik","67323",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700047I17Rik2","100101807",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700049E17Rik1","666214",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700049E17Rik2","100041722",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700056E22Rik","73363",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700057G04Rik","78459",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700061G19Rik","78625",NA,NA,NA,NA,"Background","No","0","No","0","No","0","No","0",NA
"1700064H15Rik","102633032",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700066B19Rik","73449",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700066M21Rik","73467",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700067K01Rik","73453",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700067P10Rik","68224",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700069L16Rik","381707",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700074P13Rik","73481",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700080G18Rik","73533",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700080O16Rik","74279",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700084M14Rik","73487",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700086D15Rik","74282",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700088E04Rik","27660",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700092M07Rik","74307",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700093K21Rik","67358",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700094D03Rik","73545",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700102P08Rik","112418",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700109H08Rik","77036",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700113H08Rik","76640",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
"1700122O11Rik","76651",NA,NA,NA,NA,"Background","Missing","0","No","0","Missing","0","No","0",NA
