,GeneSymbol,EntrezID,Zscore,OffTarget_pValue,AssignedScore
543,ALDH4A1,8659,0.188,1,0
544,ALDH5A1,7915,0.326,1,0
545,ALDH6A1,4329,0.866,1,0
546,ALDH7A1,501,0.058,1,0
547,ALDH8A1,64577,1.248,1,0
548,ALDH9A1,223,-0.92,0.004,0
549,ALDOA,226,-2.432,1,1
550,ALDOB,229,1.127,1,0
551,ALDOC,230,-0.112,1,0
552,ALG1,56052,0.052,1,0
553,ALG10,84920,0.649,1,0
554,ALG10B,144245,1.888,1,0
555,ALG11,440138,-0.627,1,0
556,ALG12,79087,1.016,1,0
557,ALG13,79868,1.081,1,0
558,ALG14,199857,-0.505,1,0
559,ALG1L,200810,0.39,1,0
560,ALG2,85365,-0.964,1,0
561,ALG3,10195,0.902,1,0
562,ALG5,29880,1.888,1,0
563,ALG6,29929,0.453,1,0
564,ALG8,79053,0.412,1,0
565,ALG9,79796,-2.485,0.938,1
566,ALK,238,-2.47,1,1
567,ALKAL1,389658,2.416,1,0
568,ALKAL2,285016,0.008,1,0
569,ALKBH1,8846,0.793,1,0
570,ALKBH2,121642,0.291,1,0
571,ALKBH3,221120,0.768,1,0
572,ALKBH4,54784,0.784,1,0
573,ALKBH5,54890,0.813,1,0
574,ALKBH6,84964,0.735,1,0
575,ALKBH7,84266,-0.586,1,0
576,ALKBH8,91801,0.01,1,0
577,ALLC,55821,0.404,1,0
578,ALMS1,7840,-2.427,1,1
579,ALOX12,239,0.246,1,0
580,ALOX12B,242,0.318,1,0
581,ALOX15,246,-1.498,1,0.5
582,ALOX15B,247,1.796,1,0
583,ALOX5,240,-0.882,1,0
584,ALOX5AP,241,-0.272,1,0
585,ALOXE3,59344,-0.054,1,0
586,ALPG,251,0.532,1,0
587,ALPI,248,-1.412,1,0.5
588,ALPK1,80216,-0.236,1,0
589,ALPK2,115701,0.578,1,0
590,ALPK3,57538,1.351,1,0
591,ALPL,249,1.136,1,0
592,ALPP,250,-0.233,1,0
593,ALS2,57679,-2.163,0.363,1
594,ALS2CL,259173,-0.05,1,0
595,ALS2CR12,130540,0.482,1,0
596,ALX1,8092,1.084,1,0
597,ALX3,257,0.005,1,0
598,ALX4,60529,0.144,1,0
599,ALYREF,10189,0.958,1,0
600,AMACR,23600,-0.969,1,0
601,AMBN,258,1.105,1,0
602,AMBP,259,2.03,1,0
603,AMBRA1,55626,0.68,1,0
604,AMD1,262,0.512,1,0
605,AMDHD1,144193,1.325,1,0
606,AMDHD2,51005,1.839,1,0
607,AMELX,265,0.055,1,0
608,AMELY,266,-0.598,0.155,0
609,AMER1,139285,0.308,1,0
610,AMER2,219287,1.235,1,0
611,AMER3,205147,1.008,1,0
612,AMFR,267,0.3,1,0
613,AMHR2,269,-0.663,1,0
614,AMIGO1,57463,0.515,1,0
615,AMIGO2,347902,0.395,1,0
616,AMIGO3,386724,0.099,1,0
617,AMMECR1,9949,-0.916,1,0
618,AMMECR1L,83607,-0.622,1,0
619,AMN,81693,-0.288,1,0
620,AMN1,196394,-0.172,1,0
621,AMOT,154796,1.066,1,0
622,AMOTL1,154810,-0.48,1,0
623,AMOTL2,51421,-1.086,1,0.5
624,AMPD1,270,-1.359,1,0.5
625,AMPD2,271,0.472,1,0
626,AMPD3,272,0.646,1,0
627,AMPH,273,-0.67,1,0
628,AMT,275,-0.397,0.583,0
629,AMTN,401138,0.754,1,0
630,AMY1A,276,0.388,1,0
631,AMY1B,277,0.15,1,0
632,AMY1C,278,0.833,1,0
633,AMY2A,279,-0.016,1,0
634,AMY2B,280,-0.123,1,0
635,AMZ1,155185,-0.047,1,0
636,AMZ2,51321,0.422,1,0
637,ANAPC1,64682,-0.174,1,0
638,ANAPC10,10393,0.345,1,0
639,ANAPC11,51529,-0.044,1,0
640,ANAPC13,25847,0.372,1,0
641,ANAPC15,25906,0.044,1,0
642,ANAPC16,119504,1.502,1,0
643,ANAPC2,29882,0.716,1,0
644,ANAPC4,29945,0.274,1,0
645,ANAPC5,51433,0.281,1,0
646,ANAPC7,51434,-0.331,1,0
647,ANG,283,1.116,1,0
648,ANGEL1,23357,-0.024,1,0
649,ANGEL2,90806,0.454,1,0
650,ANGPT1,284,0.582,1,0
651,ANGPT2,285,0.328,1,0
652,ANGPT4,51378,0.462,1,0
653,ANGPTL1,9068,1.008,1,0
654,ANGPTL2,23452,0.972,1,0
655,ANGPTL3,27329,0.803,1,0
656,ANGPTL4,51129,0.191,1,0
657,ANGPTL5,253935,0.234,1,0
658,ANGPTL6,83854,-0.368,1,0
659,ANGPTL7,10218,0.567,1,0
660,ANGPTL8,55908,0.232,1,0
661,ANK1,286,-0.462,1,0
662,ANK2,287,-1.687,1,1
663,ANK3,288,0.388,1,0
664,ANKAR,150709,0.451,1,0
665,ANKDD1A,348094,-0.535,1,0
666,ANKEF1,63926,-0.222,1,0
667,ANKFN1,162282,0.822,1,0
668,ANKFY1,51479,-0.225,1,0
669,ANKH,56172,2.607,1,0
670,ANKHD1,54882,1.082,1,0
671,ANKHD1-EIF4EBP3,404734,0.478,1,0
672,ANKIB1,54467,-0.472,1,0
673,ANKK1,255239,0.374,1,0
674,ANKLE1,126549,-0.584,1,0
675,ANKMY1,51281,-1.117,1,0.5
676,ANKMY2,57037,-0.32,1,0
677,ANKRA2,57763,-0.408,1,0
678,ANKRD1,27063,-0.636,1,0
679,ANKRD10,55608,-1.128,1,0.5
680,ANKRD11,29123,-0.388,1,0
681,ANKRD12,23253,-0.83,1,0
682,ANKRD13A,88455,-0.063,1,0
683,ANKRD13B,124930,0.52,1,0
684,ANKRD13C,81573,0.444,1,0
685,ANKRD13D,338692,-0.297,1,0
686,ANKRD16,54522,-0.578,1,0
687,ANKRD17,26057,0.935,1,0
688,ANKRD2,26287,-0.98,1,0
689,ANKRD20A1,84210,-0.32,1,0
690,ANKRD20A2,441430,0.736,1,0
691,ANKRD20A5P,440482,1.06,1,0
692,ANKRD22,118932,0.634,1,0
693,ANKRD23,200539,-0.492,1,0
694,ANKRD24,170961,0.788,1,0
695,ANKRD26,22852,0.13,1,0
696,ANKRD27,84079,0.576,1,0
697,ANKRD28,23243,0.144,1,0
698,ANKRD29,147463,1.262,1,0
699,ANKRD30A,91074,0.3,1,0
700,ANKRD33,341405,-0.046,1,0
701,ANKRD34A,284615,1.371,1,0
702,ANKRD34B,340120,-0.528,1,0
703,ANKRD35,148741,0.663,1,0
704,ANKRD36,375248,-0.268,1,0
