"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"HSPA4L",22824,6,0.62175,1.1734,0.40771,0.56488,0.24063,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSPA5",3309,6,-0.5331,-1.3053,0,0,0.1918,0.95824,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"HSPA6",3310,6,0.21019,0.86157,0.093607,0.20665,0.38892,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"HSPA8",3312,6,-0.407,-1.0845,0,0,0.27815,0.95824,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Spliceosome"
"HSPA9",3313,6,-0.65436,-1.797,0,0,0.072343,0.95824,"HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","RNA degradation"
"HSPB1",3315,6,0.20267,0.64723,0.085496,0.19426,0.51748,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSPB11",51668,6,0.83244,1.3971,0.037148,0.10911,0.16239,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPB2",3316,6,0.19566,0.49327,0.077799,0.18149,0.62182,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPB3",8988,6,0.27217,0.76421,0.18777,0.33451,0.44474,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPB6",126393,6,0.16433,0.40545,0.05245,0.13816,0.68515,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPB7",27129,6,-0.36437,-0.98562,0,0,0.32432,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"HSPB8",26353,6,0.32141,0.81767,0.30285,0.46255,0.41355,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPB9",94086,6,0.19641,0.42116,0.078674,0.183,0.67364,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPBAP1",79663,6,-0.2112,-0.57583,0.000092179,0.0013717,0.56473,0.95824,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"HSPBP1",23640,6,0.30651,0.73869,0.26294,0.42051,0.46009,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSPD1",3329,6,-0.066674,-0.14925,0.0014288,0.011139,0.88136,0.97912,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"HSPE1",3336,6,-0.79384,-2.0737,0,0,0.038105,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"HSPE1-MOB4",100529241,5,0.38094,0.90982,0.5368,0.67826,0.36292,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HSPG2",3339,6,0.65536,0.78327,0.29755,0.45755,0.43347,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HSPH1",10808,6,0.37028,0.6296,0.45997,0.61085,0.52896,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTATIP2",10553,6,0.047773,0.16258,0.0098631,0.043443,0.87085,0.97657,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"HTATSF1",27336,6,-0.46755,-1.8839,0,0,0.059584,0.95824,"HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"HTN1",3346,3,0.14571,0.18184,0.1396,0.27215,0.85571,0.97314,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTN3",3347,2,0.27412,0.45467,0.4137,0.57027,0.64935,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR1A",3350,6,0.10253,0.33023,0.022538,0.077178,0.74122,0.96088,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR1B",3351,6,0.10806,0.23007,0.024612,0.082141,0.81804,0.96772,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR1D",3352,6,0.43233,1.0432,0.72024,0.81988,0.29687,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR1E",3354,6,0.26424,0.78226,0.17191,0.31416,0.43406,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR1F",3355,6,0.55335,1.1179,0.68728,0.79426,0.26359,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR2A",3356,6,0.51935,1.0472,0.84883,0.90608,0.29499,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR2B",3357,6,0.62656,1.0696,0.39042,0.54825,0.28481,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"HTR2C",3358,6,0.77981,1.1776,0.074895,0.17702,0.23897,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
