"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"8536","4055",0.896,"LTBR",0,1,"Present",0.39,0.39,"0","0","0",0
"8537","4057",-0.127,"LTF",0,1,"Absent",0.113,0.113,"0","0","0",0
"8538","405753",0.568,"DUOXA2",0,1,"Absent",0.079,0.079,"0","0","0",0
"8539","405754",-0.224,"ERVFRD-1",0,0,"Absent",0.168,0.168,"0","0","0",0
"8540","4058",-0.694,"LTK",0,1,"Absent",0.292,0.292,"0","0","0",0
"8541","4059",1.628,"BCAM",0,0,"Absent",0.936,0.936,"0","0","0",0
"8542","406",-0.988,"ARNTL",0,1,"Present",0.617,0.617,"0","0","0",0
"8543","4060",1.591,"LUM",0,1,"Absent",0.105,0.105,"0","0","0",0
"8544","4061",-0.504,"LY6E",0,1,"Absent",0.173,0.173,"0","0","0",0
"8545","4062",1.019,"LY6H",0,1,"Absent",0.449,0.449,"0","0","0",0
"8546","4063",1.164,"LY9",0,1,"Absent",0.4,0.4,"0","0","0",0
"8547","4064",0.738,"CD180",0,1,"Absent",0.176,0.176,"0","0","0",0
"8548","4065",0.142,"LY75",0,1,"Absent",0.181,0.181,"0","0","0",0
"8549","4067",0.02,"LYN",0,1,"Present",0.371,0.371,"0","0","0",0
"8550","4068",-0.066,"SH2D1A",0,1,"Present",0.056,0.056,"0","0","0",0
"8551","4069",1.551,"LYZ",0,1,"Present",0.721,0.721,"0","0","0",0
"8552","407",1.727,"ARR3",0,1,"Absent",0.168,0.168,"0","0","0",0
"8553","4070",-1.99,"TACSTD2",0,0,"Absent",0.118,0.118,"HitbyZS","HitbyNA","HitbyCSA",0.5
"8554","4071",1.751,"TM4SF1",0,1,"Absent",0.405,0.405,"0","0","0",0
"8555","4072",0.505,"EPCAM",0,1,"Absent",0.359,0.359,"0","0","0",0
"8556","4074",0.025,"M6PR",0,1,"Present",0.881,0.881,"0","0","0",0
"8557","4076",-2.957,"CAPRIN1",4,1,"Absent",0.371,0.371,"HitbyZS","HitbyNA","HitbyCSA",1
"8558","4077",-0.154,"NBR1",0,1,"Absent",0.02,0.02,"0","0","0",0
"8559","407738",-0.483,"FAM19A1",0,0,"Absent",0.336,0.336,"0","0","0",0
"8560","407977",-0.035,"TNFSF12-TNFSF13",0,0.5,"Absent",0.794,0.794,"0","0","0",0
"8561","408",0.549,"ARRB1",0,1,"Present",0.762,0.762,"0","0","0",0
"8562","408029",-1.139,"C2orf27B",0,1,"Absent",1.004,1.004,"0","0","0",0.5
"8563","408050",-1.565,"NOMO3",0,1,"Absent",0.01,0.01,"0","0","0",0
"8564","4081",0.166,"MAB21L1",0,1,"Absent",0.188,0.188,"0","0","0",0
"8565","408187",1.543,"SPINK14",0,0,"Absent",0.592,0.592,"0","0","0",0
"8566","4082",0.511,"MARCKS",0,1,"Present",0.9,0.9,"0","0","0",0
"8567","408263",-0.893,"FNDC9",0,1,"Absent",0.026,0.026,"0","0","0",0
"8568","4084",0.171,"MXD1",0,1,"Absent",0.952,0.952,"0","0","0",0
"8569","4085",0.545,"MAD2L1",0,1,"Present",0.012,0.012,"0","0","0",0
"8570","4086",-3.022,"SMAD1",29,1,"Present",0.095,0.095,"HitbyZS","HitbyNA","HitbyCSA",1
"8571","4087",0.548,"SMAD2",0,1,"Present",0.115,0.115,"0","0","0",0
"8572","4088",0.052,"SMAD3",0,1,"Present",0.121,0.121,"0","0","0",0
"8573","4089",-2.672,"SMAD4",36,1,"Present",0.003,0.003,"HitbyZS","HitbyNA","0",0.5
"8574","409",-0.564,"ARRB2",0,1,"Present",0.004,0.004,"0","0","0",0
"8575","4090",0.129,"SMAD5",0,1,"Present",0.59,0.59,"0","0","0",0
"8576","4091",-1.565,"SMAD6",6,1,"Present",0.01,0.01,"0","HitbyNA","0",0
"8577","4092",0.734,"SMAD7",0,1,"Present",0.209,0.209,"0","0","0",0
"8578","4093",-0.008,"SMAD9",0,1,"Present",0.395,0.395,"0","0","0",0
"8579","4094",0.663,"MAF",0,1,"Absent",0.807,0.807,"0","0","0",0
"8580","4097",-8.075,"MAFG",5,1,"Absent",0.117,0.117,"HitbyZS","HitbyNA","HitbyCSA",1
"8581","4099",0.708,"MAG",0,1,"Present",0.771,0.771,"0","0","0",0
"8582","41",-0.39,"ASIC1",0,1,"Absent",0.66,0.66,"0","0","0",0
"8583","410",0.942,"ARSA",0,1,"Present",0.492,0.492,"0","0","0",0
"8584","4100",0.947,"MAGEA1",0,1,"Absent",0.777,0.777,"0","0","0",0
"8585","4101",-1.282,"MAGEA2",0,0,"Absent",0.011,0.011,"0","0","0",0
"8586","4102",2.289,"MAGEA3",0,1,"Absent",0.983,0.983,"0","0","0",0
"8587","4103",-0.174,"MAGEA4",0,1,"Absent",0.743,0.743,"0","0","0",0
"8588","4104",1.487,"MAGEA5",0,0.5,"Absent",0.435,0.435,"0","0","0",0
"8589","4105",0.209,"MAGEA6",0,1,"Absent",0.928,0.928,"0","0","0",0
"8590","4107",-1.686,"MAGEA8",0,1,"Absent",0.258,0.258,"HitbyZS","HitbyNA","HitbyCSA",1
"8591","4108",0.374,"MAGEA9",0,0,"Absent",0.371,0.371,"0","0","0",0
"8592","4109",0.145,"MAGEA10",0,1,"Absent",0.152,0.152,"0","0","0",0
"8593","411",-0.677,"ARSB",0,1,"Present",0.811,0.811,"0","0","0",0
"8594","4110",1.013,"MAGEA11",0,1,"Absent",0.451,0.451,"0","0","0",0
"8595","4111",1.461,"MAGEA12",0,0,"Absent",0.157,0.157,"0","0","0",0
"8596","4112",0.938,"MAGEB1",0,0,"Absent",0.759,0.759,"0","0","0",0
"8597","4113",-0.188,"MAGEB2",0,1,"Absent",0.043,0.043,"0","0","0",0
"8598","4114",1.187,"MAGEB3",0,1,"Absent",0.82,0.82,"0","0","0",0
"8599","4115",0.74,"MAGEB4",0,1,"Absent",0.529,0.529,"0","0","0",0
"8600","4116",-0.12,"MAGOH",0,1,"Present",0.259,0.259,"0","0","0",0
"8601","4117",1.557,"MAK",0,1,"Absent",0.936,0.936,"0","0","0",0
"8602","4118",1.067,"MAL",0,1,"Absent",0.248,0.248,"0","0","0",0
"8603","412",-1.915,"STS",0,1,"Present",0.097,0.097,"HitbyZS","HitbyNA","HitbyCSA",1
"8604","4121",-0.456,"MAN1A1",0,1,"Present",0.572,0.572,"0","0","0",0
"8605","4122",-0.027,"MAN2A2",0,1,"Present",0.217,0.217,"0","0","0",0
"8606","4123",-0.923,"MAN2C1",0,1,"Present",0.205,0.205,"0","0","0",0
"8607","4124",-1.661,"MAN2A1",1,1,"Present",0,0,"HitbyZS","HitbyNA","0",0.5
"8608","4125",0.584,"MAN2B1",0,1,"Present",0.327,0.327,"0","0","0",0
"8609","4126",0.276,"MANBA",0,1,"Present",0.746,0.746,"0","0","0",0
